date,home,away,home_score,away_score
2021-04-05,HOU,PHX,130,133
2021-04-06,IND,CHI,97,113
2021-04-06,TOR,LAL,101,110
2021-04-06,ATL,NOP,123,107
2021-04-06,BOS,PHI,96,106
2021-04-06,MIA,MEM,112,124
2021-04-06,DEN,DET,134,119
2021-04-06,LAC,POR,133,116
2021-04-06,GSW,MIL,122,121
2021-04-07,IND,MIN,141,137
2021-04-07,ORL,WAS,116,131
2021-04-07,BKN,NOP,139,111
2021-04-07,BOS,NYK,101,99
2021-04-07,ATL,MEM,113,131
2021-04-07,HOU,DAL,102,93
2021-04-07,OKC,CHA,102,113
2021-04-07,DEN,SAS,106,96
2021-04-07,PHX,UTA,117,113
2021-04-08,TOR,CHI,113,122
2021-04-08,MIA,LAL,110,104
2021-04-08,OKC,CLE,102,129
2021-04-08,DAL,MIL,116,101
2021-04-08,UTA,POR,122,103
2021-04-08,LAC,PHX,113,103
2021-04-08,SAC,DET,101,113
2021-04-09,ORL,IND,106,111
2021-04-09,NYK,MEM,133,129
2021-04-09,BOS,MIN,145,136
2021-04-09,NOP,PHI,101,94
2021-04-09,ATL,CHI,120,108
2021-04-09,DEN,SAS,121,119
2021-04-09,MIL,CHA,119,127
2021-04-09,LAC,HOU,126,109
2021-04-09,GSW,WAS,107,110
2021-04-10,CLE,TOR,115,135
2021-04-10,BKN,LAL,101,126
2021-04-10,OKC,PHI,93,117
2021-04-10,UTA,SAC,128,112
2021-04-10,PHX,WAS,134,106
2021-04-10,POR,DET,118,103
2021-04-10,GSW,HOU,125,109
2021-04-11,CHA,ATL,101,105
2021-04-11,DEN,BOS,87,105
2021-04-11,CLE,NOP,109,116
2021-04-11,ORL,MIL,87,124
2021-04-11,DAL,SAS,117,119
2021-04-11,NYK,TOR,102,96
2021-04-11,MEM,IND,125,132
2021-04-11,MIN,CHI,121,117
2021-04-11,POR,MIA,98,107
2021-04-11,LAC,DET,131,124
2021-04-12,DAL,PHI,95,113
2021-04-12,NYK,LAL,111,96
2021-04-12,ORL,SAS,97,120
2021-04-12,UTA,WAS,121,125
2021-04-12,MEM,CHI,101,90
2021-04-12,NOP,SAC,117,110
2021-04-12,GSW,DEN,116,107
2021-04-12,PHX,HOU,126,120
2021-04-13,MIN,BKN,97,127
2021-04-13,TOR,ATL,103,108
2021-04-13,IND,LAC,115,126
2021-04-13,CHA,LAL,93,101
2021-04-13,UTA,OKC,106,96
2021-04-13,PHX,MIA,106,86
2021-04-13,POR,BOS,115,116
2021-04-14,MIN,MIL,105,130
2021-04-14,CHA,CLE,90,103
2021-04-14,PHI,BKN,123,117
2021-04-14,TOR,SAS,117,112
2021-04-14,DET,LAC,98,100
2021-04-14,NOP,NYK,106,116
2021-04-14,CHI,ORL,106,115
2021-04-14,OKC,GSW,109,147
2021-04-14,HOU,IND,124,132
2021-04-14,MEM,DAL,113,114
2021-04-14,DEN,MIA,123,106
2021-04-14,SAC,WAS,111,123
2021-04-15,ATL,MIL,109,120
2021-04-15,CLE,GSW,101,119
2021-04-15,LAL,BOS,113,121
2021-04-15,PHX,SAC,122,114
2021-04-16,UTA,IND,119,111
2021-04-16,DET,OKC,110,104
2021-04-16,WAS,NOP,117,115
2021-04-16,PHI,LAC,106,103
2021-04-16,BKN,CHA,130,115
2021-04-16,TOR,ORL,113,102
2021-04-16,MIN,MIA,119,111
2021-04-16,HOU,DEN,99,128
2021-04-16,CHI,MEM,115,126
2021-04-16,SAS,POR,106,107
2021-04-16,DAL,NYK,109,117
2021-04-17,LAL,UTA,127,115
2021-04-17,WAS,DET,121,100
2021-04-17,CHI,CLE,106,96
2021-04-17,BOS,GSW,119,114
2021-04-17,MIL,MEM,115,128
2021-04-17,PHX,SAS,85,111
2021-04-18,NYK,NOP,122,112
2021-04-18,ATL,IND,129,117
2021-04-18,MIA,BKN,109,107
2021-04-18,ORL,HOU,110,114
2021-04-18,CHA,POR,109,101
2021-04-18,TOR,OKC,112,106
2021-04-18,DAL,SAC,107,121
2021-04-18,LAC,MIN,124,105
2021-04-19,DET,CLE,109,105
2021-04-19,BOS,CHI,96,102
2021-04-19,PHI,GSW,96,107
2021-04-19,IND,SAS,94,109
2021-04-19,WAS,OKC,119,107
2021-04-19,MIL,PHX,127,128
2021-04-19,MIA,HOU,113,91
2021-04-19,DEN,MEM,139,137
2021-04-19,LAL,UTA,97,111
2021-04-20,NYK,CHA,109,97
2021-04-20,NOP,BKN,129,134
2021-04-20,ATL,ORL,112,96
2021-04-20,SAC,MIN,120,134
2021-04-20,POR,LAC,112,113
2021-04-21,WAS,GSW,118,114
2021-04-21,CLE,CHI,121,105
2021-04-21,TOR,BKN,114,103
2021-04-21,PHI,PHX,113,116
2021-04-21,IND,OKC,122,116
2021-04-21,NYK,ATL,137,127
2021-04-21,HOU,UTA,89,112
2021-04-21,DAL,DET,127,117
2021-04-21,SAS,MIA,87,107
2021-04-21,LAC,MEM,117,105
2021-04-21,SAC,MIN,128,125
2021-04-21,POR,DEN,105,106
2021-04-22,BOS,PHX,99,86
2021-04-22,ORL,NOP,100,135
2021-04-22,MIL,PHI,124,117
2021-04-22,SAS,DET,106,91
2021-04-22,CHI,CHA,108,91
2021-04-22,DAL,LAL,115,110
2021-04-23,BKN,BOS,109,104
2021-04-23,ATL,MIA,118,103
2021-04-23,HOU,LAC,104,109
2021-04-23,CHA,CLE,108,102
2021-04-23,OKC,WAS,109,129
2021-04-23,GSW,DEN,118,97
2021-04-23,POR,MEM,128,130
2021-04-24,NYK,TOR,120,103
2021-04-24,MIL,PHI,132,94
2021-04-24,IND,DET,115,109
2021-04-24,NOP,SAS,108,110
2021-04-24,MIA,CHI,106,101
2021-04-24,DAL,LAL,108,93
2021-04-24,UTA,MIN,96,101
2021-04-24,DEN,HOU,129,116
2021-04-25,CHA,BOS,125,104
2021-04-25,BKN,PHX,128,119
2021-04-25,POR,MEM,113,120
2021-04-25,WAS,CLE,119,110
2021-04-25,ATL,MIL,111,104
2021-04-25,ORL,IND,112,131
2021-04-25,GSW,SAC,117,113
2021-04-26,WAS,SAS,143,146
2021-04-26,PHI,OKC,121,90
2021-04-26,ORL,LAL,103,114
2021-04-26,DET,ATL,100,86
2021-04-26,NYK,PHX,110,118
2021-04-26,TOR,CLE,112,96
2021-04-26,NOP,LAC,120,103
2021-04-26,MIA,CHI,102,110
2021-04-26,MIN,UTA,105,104
2021-04-26,DEN,MEM,120,96
2021-04-26,SAC,DAL,113,106
2021-04-27,CHA,MIL,104,114
2021-04-27,IND,POR,112,133
2021-04-27,BOS,OKC,115,119
2021-04-27,TOR,BKN,103,116
2021-04-27,HOU,MIN,107,114
2021-04-27,GSW,DAL,103,133
2021-04-28,CLE,ORL,104,109
2021-04-28,PHI,ATL,127,83
2021-04-28,WAS,LAL,116,107
2021-04-28,BOS,CHA,120,111
2021-04-28,NYK,CHI,113,94
2021-04-28,MIA,SAS,116,111
2021-04-28,MEM,POR,109,130
2021-04-28,DEN,NOP,114,112
2021-04-28,SAC,UTA,105,154
2021-04-28,PHX,LAC,109,101
2021-04-29,DET,DAL,105,115
2021-04-29,IND,BKN,113,130
2021-04-29,MIN,GSW,126,114
2021-04-29,HOU,MIL,143,136
2021-04-29,OKC,NOP,95,109
2021-04-29,DEN,TOR,121,111
2021-04-30,PHI,ATL,126,104
2021-04-30,CLE,WAS,93,122
2021-04-30,BOS,SAS,143,140
2021-04-30,BKN,POR,109,128
2021-04-30,MEM,ORL,92,75
2021-04-30,CHI,MIL,98,108
2021-04-30,PHX,UTA,121,100
2021-04-30,LAL,SAC,106,110
2021-05-01,CHA,DET,107,94
2021-05-01,HOU,GSW,87,113
2021-05-01,CLE,MIA,107,124
2021-05-01,OKC,IND,95,152
2021-05-01,MIN,NOP,136,140
2021-05-01,ORL,MEM,112,111
2021-05-01,ATL,CHI,108,97
2021-05-01,DAL,WAS,125,124
2021-05-01,LAC,DEN,104,110
2021-05-01,UTA,TOR,106,102
2021-05-02,MIL,BKN,117,114
2021-05-02,BOS,POR,119,129
2021-05-02,CHA,MIA,111,121
2021-05-02,SAS,PHI,111,113
2021-05-02,OKC,PHX,120,123
2021-05-02,DAL,SAC,99,111
2021-05-02,HOU,NYK,97,122
2021-05-02,LAL,TOR,114,121
2021-05-03,WAS,IND,154,141
2021-05-03,DET,ORL,112,119
2021-05-03,NOP,GSW,108,123
2021-05-03,ATL,POR,123,114
2021-05-03,CHI,PHI,94,106
2021-05-03,MEM,NYK,104,118
2021-05-03,UTA,SAS,110,99
2021-05-03,LAL,DEN,93,89
2021-05-04,DET,CHA,99,102
2021-05-04,CLE,PHX,118,134
2021-05-04,MIL,BKN,124,118
2021-05-04,MIA,DAL,113,127
2021-05-04,NOP,GSW,108,103
2021-05-04,OKC,SAC,99,103
2021-05-04,LAC,TOR,105,100
2021-05-05,ORL,BOS,96,132
2021-05-05,CLE,POR,105,141
2021-05-05,ATL,PHX,135,103
2021-05-05,IND,SAC,93,104
2021-05-05,HOU,PHI,115,135
2021-05-05,MIL,WAS,135,134
2021-05-05,MIN,MEM,135,139
2021-05-05,UTA,SAS,126,94
2021-05-05,DEN,NYK,113,97
2021-05-06,CHA,CHI,99,120
2021-05-06,DAL,BKN,113,109
2021-05-06,TOR,WAS,129,131
2021-05-06,IND,ATL,133,126
2021-05-06,DET,MEM,111,97
2021-05-06,LAC,LAL,118,94
2021-05-06,GSW,OKC,118,97
2021-05-07,PHI,NOP,109,107
2021-05-07,CHI,BOS,121,99
2021-05-07,MIA,MIN,121,112
2021-05-07,CHA,ORL,122,112
2021-05-07,MIL,HOU,141,133
2021-05-07,DAL,CLE,110,90
2021-05-07,UTA,DEN,127,120
2021-05-07,SAC,SAS,104,113
2021-05-07,PHX,NYK,128,105
2021-05-07,POR,LAL,106,101
2021-05-08,PHI,DET,118,104
2021-05-08,IND,WAS,132,133
2021-05-08,TOR,MEM,99,109
2021-05-08,POR,SAS,124,102
2021-05-08,UTA,HOU,124,116
2021-05-08,GSW,OKC,136,97
2021-05-08,DEN,BKN,119,125
2021-05-09,BOS,MIA,124,130
2021-05-09,LAC,NYK,100,106
2021-05-09,CHA,NOP,110,112
2021-05-09,ORL,MIN,96,128
2021-05-09,CLE,DAL,97,124
2021-05-09,DET,CHI,96,108
2021-05-09,LAL,PHX,123,110
2021-05-09,SAC,OKC,126,98
2021-05-10,CLE,IND,102,111
2021-05-10,ATL,WAS,125,124
2021-05-10,MEM,NOP,115,110
2021-05-10,SAS,MIL,146,125
2021-05-10,GSW,UTA,119,116
2021-05-10,POR,HOU,140,129
2021-05-11,CHA,DEN,112,117
2021-05-11,DET,MIN,100,119
2021-05-11,TOR,LAC,96,115
2021-05-11,BOS,MIA,121,129
2021-05-11,MEM,DAL,133,104
2021-05-11,IND,PHI,103,94
2021-05-11,CHI,BKN,107,115
2021-05-11,MIL,ORL,114,102
2021-05-11,LAL,NYK,101,99
2021-05-11,SAC,OKC,122,106
2021-05-11,GSW,PHX,122,116
2021-05-12,ATL,WAS,120,116
2021-05-12,BKN,SAS,128,116
2021-05-12,CLE,BOS,102,94
2021-05-12,DAL,NOP,125,107
2021-05-12,UTA,POR,98,105
2021-05-12,LAL,HOU,124,122
2021-05-13,IND,MIL,133,142
2021-05-13,CHA,LAC,90,113
2021-05-13,ATL,ORL,116,93
2021-05-13,MIA,PHI,106,94
2021-05-13,NYK,SAS,102,98
2021-05-13,CHI,TOR,114,102
2021-05-13,MEM,SAC,116,110
2021-05-13,MIN,DEN,103,114
2021-05-13,PHX,POR,118,117
2021-05-14,WAS,CLE,120,105
2021-05-14,PHI,ORL,122,97
2021-05-14,DET,DEN,91,104
2021-05-14,OKC,UTA,93,109
2021-05-14,DAL,TOR,114,110
2021-05-14,HOU,LAC,122,115
2021-05-14,MEM,SAC,107,106
2021-05-14,GSW,NOP,125,122
2021-05-15,BKN,CHI,105,91
2021-05-15,NYK,CHA,118,109
2021-05-15,IND,LAL,115,122
2021-05-15,MIN,BOS,108,124
2021-05-15,SAS,PHX,103,140
2021-05-15,MIL,MIA,122,108
2021-05-16,TOR,IND,113,125
2021-05-16,WAS,CHA,115,110
2021-05-16,NYK,BOS,96,92
2021-05-16,SAS,PHX,121,123
2021-05-16,GSW,MEM,113,101
2021-05-16,PHI,ORL,128,117
2021-05-16,BKN,CLE,123,109
2021-05-16,ATL,HOU,124,95
2021-05-16,DET,MIA,107,120
2021-05-16,NOP,LAL,98,110
2021-05-16,MIN,DAL,136,121
2021-05-16,CHI,MIL,118,112
2021-05-16,POR,DEN,132,116
2021-05-16,SAC,UTA,99,121
2021-05-16,OKC,LAC,117,112
